ID,Layer,Weight
12361664,Diffusion_L3,1
11794647,Diffusion_L3,1
11552611,Diffusion_L3,1
10898799,Diffusion_L3,1
11148583,Diffusion_L3,1
11347317,Diffusion_L3,1
9842875,Diffusion_L3,1
11750972,Diffusion_L3,1
10218964,Diffusion_L3,1
10409549,Diffusion_L3,1
10942575,Diffusion_L3,1
12185213,Diffusion_L3,1
11100636,Diffusion_L3,1
12367687,Diffusion_L3,1
10564072,Diffusion_L3,1
12175977,Diffusion_L3,1
10007674,Diffusion_L3,1
8797627,Diffusion_L3,1
10787116,Diffusion_L3,1
11914772,Diffusion_L3,1
9549079,Diffusion_L3,1
11616910,Diffusion_L3,1
7949152,Diffusion_L3,1
8055308,Diffusion_L3,1
7490007,Diffusion_L3,1
11297178,Diffusion_L3,1
11599199,Diffusion_L3,1
10152858,Diffusion_L3,1
7311406,Diffusion_L3,1
12170747,Diffusion_L3,1
8260515,Diffusion_L3,1
11481658,Diffusion_L3,1
11770601,Diffusion_L3,1
11979836,Diffusion_L3,1
8164464,Diffusion_L3,1
11104267,Diffusion_L3,1
7366325,Diffusion_L3,1
7561955,Diffusion_L3,1
9019090,Diffusion_L3,1
9558663,Diffusion_L3,1
11657619,Diffusion_L3,1
10909708,Diffusion_L3,1
6895311,Diffusion_L3,1
10406980,Diffusion_L3,1
8964024,Diffusion_L3,1
11024331,Diffusion_L3,1
10829052,Diffusion_L3,1
11516606,Diffusion_L3,1
12216827,Diffusion_L3,1
8965685,Diffusion_L3,1
11590418,Diffusion_L3,1
12289584,Diffusion_L3,1
11445294,Diffusion_L3,1
10523879,Diffusion_L3,1
10229313,Diffusion_L3,1
11750962,Diffusion_L3,1
9551791,Diffusion_L3,1
6819261,Diffusion_L3,1
10071689,Diffusion_L3,1
12135862,Diffusion_L3,1
11711662,Diffusion_L3,1
12405675,Diffusion_L3,1
9072929,Diffusion_L3,1
7792621,Diffusion_L3,1
11765209,Diffusion_L3,1
11615284,Diffusion_L3,1
8559942,Diffusion_L3,1
11627286,Diffusion_L3,1
7355524,Diffusion_L3,1
11023043,Diffusion_L3,1
11577652,Diffusion_L3,1
11822778,Diffusion_L3,1
9639166,Diffusion_L3,1
10782848,Diffusion_L3,1
11423886,Diffusion_L3,1
9952673,Diffusion_L3,1
12314681,Diffusion_L3,1
10703274,Diffusion_L3,1
11778149,Diffusion_L3,1
11747912,Diffusion_L3,1
8185275,Diffusion_L3,1
9457717,Diffusion_L3,1
9779313,Diffusion_L3,1
12244963,Diffusion_L3,1
12260023,Diffusion_L3,1
8654433,Diffusion_L3,1
10950047,Diffusion_L3,1
11809213,Diffusion_L3,1
11308961,Diffusion_L3,1
10521021,Diffusion_L3,1
10118618,Diffusion_L3,1
7684916,Diffusion_L3,1
10567748,Diffusion_L3,1
12143781,Diffusion_L3,1
10175477,Diffusion_L3,1
8525703,Diffusion_L3,1
9558667,Diffusion_L3,1
9551788,Diffusion_L3,1
11113887,Diffusion_L3,1
12139063,Diffusion_L3,1
9942481,Diffusion_L3,1
9864905,Diffusion_L3,1
9341846,Diffusion_L3,1
10725312,Diffusion_L3,1
11720180,Diffusion_L3,1
11698770,Diffusion_L3,1
10288724,Diffusion_L3,1
11756335,Diffusion_L3,1
11682313,Diffusion_L3,1
9156473,Diffusion_L3,1
10859375,Diffusion_L3,1
7053797,Diffusion_L3,1
11538460,Diffusion_L3,1
11155210,Diffusion_L3,1
10691219,Diffusion_L3,1
9340156,Diffusion_L3,1
7379165,Diffusion_L3,1
11863311,Diffusion_L3,1
7815326,Diffusion_L3,1
12204932,Diffusion_L3,1
9561797,Diffusion_L3,1
12131500,Diffusion_L3,1
11875012,Diffusion_L3,1
9440586,Diffusion_L3,1
8366135,Diffusion_L3,1
9900490,Diffusion_L3,1
10088675,Diffusion_L3,1
7990283,Diffusion_L3,1
10914950,Diffusion_L3,1
12379834,Diffusion_L3,1
9481344,Diffusion_L3,1
11416512,Diffusion_L3,1
9185354,Diffusion_L3,1
12210153,Diffusion_L3,1
12069399,Diffusion_L3,1
11501773,Diffusion_L3,1
12387403,Diffusion_L3,1
9417080,Diffusion_L3,1
12250526,Diffusion_L3,1
9485433,Diffusion_L3,1
10516708,Diffusion_L3,1
11079846,Diffusion_L3,1
11138969,Diffusion_L3,1
11198432,Diffusion_L3,1
8565978,Diffusion_L3,1
10970035,Diffusion_L3,1
10858042,Diffusion_L3,1
10528122,Diffusion_L3,1
8060017,Diffusion_L3,1
7711355,Diffusion_L3,1
9958951,Diffusion_L3,1
12236528,Diffusion_L3,1
10984544,Diffusion_L3,1
11675494,Diffusion_L3,1
8615154,Diffusion_L3,1
10621981,Diffusion_L3,1
10926756,Diffusion_L3,1
7804980,Diffusion_L3,1
11558693,Diffusion_L3,1
10095930,Diffusion_L3,1
10247547,Diffusion_L3,1
10422649,Diffusion_L3,1
11205080,Diffusion_L3,1
10732407,Diffusion_L3,1
12087061,Diffusion_L3,1
12382188,Diffusion_L3,1
11582312,Diffusion_L3,1
D857745,Diffusion_L3,1
9393917,Diffusion_L3,1
10151838,Diffusion_L3,1
8498796,Diffusion_L3,1
11445232,Diffusion_L3,1
10627915,Diffusion_L3,1
9965534,Diffusion_L3,1
11417005,Diffusion_L3,1
12287913,Diffusion_L3,1
10076706,Diffusion_L3,1
9483506,Diffusion_L3,1
8019505,Diffusion_L3,1
9514378,Diffusion_L3,1
12073147,Diffusion_L3,1
12271517,Diffusion_L3,1
9245448,Diffusion_L3,1
11297426,Diffusion_L3,1
10861248,Diffusion_L3,1
11163361,Diffusion_L3,1
7551103,Diffusion_L3,1
11983458,Diffusion_L3,1
7207588,Diffusion_L3,1
11934569,Diffusion_L3,1
11226413,Diffusion_L3,1
10824238,Diffusion_L3,1
7616781,Diffusion_L3,1
10005394,Diffusion_L3,1
10587430,Diffusion_L3,1
12126970,Diffusion_L3,1
8508383,Diffusion_L3,1
12022056,Diffusion_L3,1
10343608,Diffusion_L3,1
10525338,Diffusion_L3,1
11137246,Diffusion_L3,1
12393274,Diffusion_L3,1
10701320,Diffusion_L3,1
11488364,Diffusion_L3,1
10360718,Diffusion_L3,1
11128792,Diffusion_L3,1
8749374,Diffusion_L3,1
12379770,Diffusion_L3,1
12054098,Diffusion_L3,1
8494675,Diffusion_L3,1
10247943,Diffusion_L3,1
12204693,Diffusion_L3,1
12405672,Diffusion_L3,1
11010512,Diffusion_L3,1
12028678,Diffusion_L3,1
8350907,Diffusion_L3,1
