Citing_Patent,Year,Assignee,CPC_Groups
8717469,2014,Microsoft Corporation,G01C3/08; G01S17/894; G01S7/4863; H04N13/20; H04N13/204; H04N13/254; H04N13/296; H04N23/73; H04N25/00; H04N25/50; H10F39/12; H10F39/15; H10F39/803
8787658,2014,Microsoft Corporation,G06T7/11; G06T7/12; G06T7/143; G06T7/194; G06V10/235
8892495,2014,"Blanding Hovenweep, LLC",F24F11/30; F24F11/62; F24F2120/10; G05B2219/2642; G06F7/023; G06N20/00; G06N5/048; G06N7/06
8803952,2014,Microsoft Corporation,A63F13/213; A63F13/235; A63F13/52; A63F2300/1031; A63F2300/1087; A63F2300/66; G01S17/87; G01S17/894
8773355,2014,Microsoft Corporation,A63F13/10; A63F13/213; A63F13/428; A63F13/45; A63F13/79; A63F2300/1093; A63F2300/6045; G06F3/011
8917240,2014,Microsoft Corporation,A63F13/211; A63F13/213; A63F13/42; A63F13/426; A63F13/428; A63F13/533; A63F2300/1087; A63F2300/308; A63F2300/6045; A63F2300/6607; A63F2300/6615; G06F3/011; G06F3/017
8897491,2014,Microsoft Corporation,A63F13/213; A63F13/428; A63F13/44; A63F13/812; A63F2300/1087; A63F2300/6045; A63F2300/6607; A63F2300/6615; G06F3/0425; G06F3/04883; G06T11/20; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/113; G06V40/28
8888331,2014,Microsoft Corporation,G01S17/894; G01S7/4814; G01S7/484; H01L2224/48091; H01L2924/13091; H01S5/02212; H01S5/02253; H01S5/02257; H01S5/023; H01S5/0233; H01S5/0235; H10H20/8506; H10H20/857
8723118,2014,Microsoft Corporation,G01J3/02; G01J3/0205; G01J3/0224; G01J3/0229; G01J3/0235; H04N13/254; H04N23/11
8856691,2014,Microsoft Corporation,G06F3/017; G06F3/0481; G06F3/04847
8638985,2014,Microsoft Corporation,G06V40/103
9001118,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/655; G06T13/40; G06T17/20; G06T2207/10028; G06T7/344; G06V10/426; G06V10/754; G06V10/757; G06V20/653; G06V40/103
9052382,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01C3/08; G01S17/36; G01S17/894; G01S7/491; G01S7/4914
9015638,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/22; A63F13/28; A63F13/42; A63F13/428; A63F13/53; A63F13/812; A63F13/814; A63F13/833; A63F13/843; A63F2300/1093; A63F2300/6045; A63F2300/6607; G06F3/011; G06F3/017; G06F3/0304; G06F3/04883
9069381,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/45; A63F13/47; A63F2300/10; A63F2300/1087; A63F2300/1093; A63F2300/6045; A63F2300/8023; A63F2300/8088; G06F3/011; G06F3/017
9123316,2015,"MICROSOFT TECHNOLOGY LICENSING, LLC",G05B15/02; G06F3/011; G06F3/017; G06F3/165; G10H1/0008; G10H2220/201; G10H2220/455
8926431,2015,Microsoft Corporation,A63F13/213; A63F13/35; A63F13/40; A63F13/42; A63F13/428; A63F13/655; A63F13/79; A63F13/87; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F9/24; G06V40/16
8942428,2015,Microsoft Corporation,A63F13/213; G06F2203/012; G06F3/011; G06F3/017; G06V40/20; G06V40/23; G06V40/28
